vert,edge,prob
100,1,0.2893828357267034
100,16,0.4719344373735773
100,65,0.09075507711046471
100,42,0.08467908446179695
100,58,0.6200757597719028
100,95,0.8882461510528057
100,4,0.09970564767510393
100,7,0.08769160155513656
100,33,0.03168458217239989
100,67,0.5543406150608838
100,10,0.05203743010994699
100,44,0.30070521028670416
100,4,0.23051658326752467
100,54,0.5675706560962688
100,3,0.010306928702118134
100,3,0.008178034300472037
100,24,0.41994497399816166
100,6,0.3452378622071839
100,2,0.24598651442202235
100,8,0.2707879881553772
100,2,0.08716770710884036
100,2,0.3670643764598007
100,2,0.04327576308934156
100,15,0.4069596709983001
100,10,0.005436635414091007
100,6,0.0319107060980689
100,35,0.6228646792505614
100,2,0.8399916379792418
100,101,0.9393197034058135
100,20,0.01381930074077653
100,77,0.3916648890031664
100,10,0.4318638279578979
100,2,0.5486939038550174
100,2,0.23537467687642877
100,2,0.507155795764082
100,26,0.6722681702201729
100,40,0.11338799876076966
100,12,0.1280566269907394
100,2,0.8598101135539737
100,50,0.7052288881913679
100,11,0.025324056519407945
100,51,0.3665236440764963
100,86,0.9769191491474012
100,6,0.024513948363031668
100,1,0.26216569384931065
100,2,0.05843397387249938
100,102,0.8343301555556865
100,107,0.7367703645381489
100,139,0.16676280128859688
100,4,0.5582747458345131
100,1,0.6103869651848768
100,1,0.8842237109383727
100,29,0.13515405984090367
100,26,0.2775304615327977
100,77,0.0860545442286581
100,7,0.06412813994559863
100,18,0.3658677756677886
100,2,0.3315785754414887
100,2,0.051681807450426165
100,2,0.1840223801000367
100,66,0.03384910089619286
100,5,0.29990351434756923
100,3,0.10143696814593306
100,2,0.12348318429296834
100,7,0.3761487546992133
100,7,0.006779141994185944
100,2,0.5868095191725347
100,67,0.9866259893273184
100,7,0.0575613796868224
100,20,0.05212044943196881
100,67,0.6254209077365854
100,6,0.132423780778956
100,67,0.7374213520368533
100,39,0.12427996022580856
100,5,0.008918901017796577
100,30,0.008563598748322798
100,4,0.046859608100438765
100,2,0.37415535702687674
100,53,0.8395699389939337
100,2,0.13796629093005708
100,45,0.9797787971575901
100,13,0.23492004247227227
100,3,0.01933538889494657
100,11,0.06385452845014605
100,2,0.14292557642241333
100,9,0.29312280262041046
100,3,0.19503246773403793
100,86,0.6043856146038831
100,36,0.1659987147795149
100,21,0.06484918480089574
100,23,0.011231259301690666
100,4,0.15211992192102464
100,21,0.0014032989539135565
100,19,0.0014967587114702585
100,87,0.7403572919063321
100,48,0.4587521420977849
100,41,0.5255441085620176
100,11,0.008557741594762636
100,12,0.01175764886953845
100,1,0.318242097469426
100,96,0.535741160848161
100,30,0.07539612315558397
100,25,0.20103094595801274
100,3,0.025251177911199907
100,10,0.0324896618168965
100,72,0.9914166200707063
100,14,0.2421627280740848
100,12,0.045975392589850506
100,50,0.2987147929487156
100,24,0.7759527822141549
100,3,0.1464276908203641
100,80,0.8336767755710103
100,42,0.30890920753939166
100,3,0.43660873918314747
100,19,0.019474615550696184
100,16,0.06547778906974
100,24,0.08529876765719668
100,17,0.13015739419078032
100,6,0.27335444786266905
100,16,0.23143540126971562
100,3,0.18290498093429464
100,5,0.0003662449220820374
100,13,0.0581504873331713
100,5,0.13604694769249914
100,72,0.4387044959033053
100,81,0.019012363538321253
100,2,0.8085120442268628
100,2,0.4602405748646876
100,74,0.017642942176845255
100,7,0.7020308571304659
100,81,0.7625577666484862
100,6,0.28598432347930003
100,7,0.04757983563458801
100,15,0.24683530745096238
100,8,0.08522139576762988
100,2,0.5811550662889227
100,10,0.03200167888980021
100,72,0.9538322770712063
100,84,0.5570893503207648
100,1,0.018964842993129838
100,2,0.5276806130351743
100,12,0.5772536790001357
100,61,0.513748409750525
100,1,0.20960460978271345
100,26,0.4203087324439334
100,2,0.13685365654947368
100,19,0.03605104118958524
100,20,0.0006477654577680125
100,103,0.8440460830174072
100,5,0.030710245600719333
100,6,0.013340879097555103
100,17,0.04357587841392874
100,9,0.01893364338118353
100,4,0.2872790639482573
100,18,0.07378113395245545
100,2,0.24350434483663808
100,3,0.08432618881435738
100,73,0.20620300054808682
100,52,0.032866393643267044
100,70,0.31682610204726536
100,52,0.6922483397128794
100,29,0.029484355181932376
100,84,0.4316054236586899
100,2,0.19020500458985823
100,66,0.3082266620560036
100,12,0.5392102064151157
100,4,0.008748589833658005
100,3,0.13086778472567873
100,20,0.009145106951219617
100,3,0.01383390303483334
100,4,0.5267348038433279
100,3,0.06617223321070831
100,3,0.06233119770208417
100,9,0.019152492001655363
100,9,0.29382179512178497
100,39,0.00010250114681120692
100,9,0.06974036436926323
100,65,0.20317899061994416
100,3,0.10721127025659627
100,107,0.08909976027508171
100,79,0.21283163349992662
100,16,0.27230246229480304
100,73,0.14195361315116317
100,2,0.189647827523314
100,2,0.2172226272415544
100,3,0.0013804265828438744
100,69,0.9211692606232209
100,61,0.29054415547180934
100,7,0.04401652167114922
100,2,0.08390655593922047
100,65,0.30013272617319176
100,76,0.6572443865792319
100,13,0.03199550396596085
100,87,0.6726801992509508
100,41,0.20361144006949017
100,25,0.10770020469332964
100,6,0.7820108632155567
100,2,0.0014021491900539917
100,9,0.0608594705732336
100,3,0.10738060767242275
100,25,0.032455543068194315
100,37,0.248179215076462
100,72,0.08512119887684244
100,2,0.04338784368033932
100,14,0.14240921905565618
100,8,0.007699056361016754
100,10,0.08109187854698163
100,5,0.3012419334953471
100,15,0.3188267935044312
100,1,0.5065566785193683
100,18,0.004802072664109591
100,15,0.2677082013135982
100,13,0.009666953148733337
100,2,0.13035739448211547
100,1,0.13029601174437677
100,16,0.3747793151361801
100,5,0.8804624622821583
100,5,0.04134074400074983
100,2,0.03935578649451321
100,9,0.22801878610747517
100,2,0.1851900751703759
100,23,0.15372550970467436
100,2,0.5133846137247801
100,9,0.11688613526724356
100,2,0.11807214840925162
100,25,0.7180761554695798
100,29,0.35222284398766357
100,25,0.8925988739135353
100,2,0.027555791966459853
100,4,0.34604479805023125
100,2,0.33249085219115715
100,6,0.2112411438418368
100,2,0.17549519280946102
100,14,0.03780275788290366
100,57,0.438098920991155
100,47,0.07840644713098244
100,4,0.30648998971345176
100,20,0.003653459603862652
100,8,0.4085593594417317
100,36,0.5681375286521461
100,70,0.2243264516186887
100,2,0.02060350372641495
100,2,0.23719865950333818
100,4,0.028956237819264596
100,5,0.11400394218023013
100,20,0.04479361571706564
100,133,0.9933718311011922
100,2,0.12058003053181732
100,10,0.2159850818595872
100,16,0.04023931054268848
100,28,0.046917890523210715
100,27,0.03576647999198923
100,7,0.02267793087386305
100,4,0.2679122181555773
100,88,0.3314727506002604
100,6,0.6262557339697121
100,13,0.26803638853727185
100,44,0.6260669245568111
100,32,0.008235257249909034
100,54,0.0875471818521002
100,42,0.07706442160973948
100,5,0.20860138137142614
100,22,0.0113236421616284
100,2,0.3816612646794001
100,2,0.07808921747780306
100,5,0.15275870911287504
100,15,0.4308031910075022
100,68,0.5764068000973748
100,2,0.368289083924191
100,53,0.5836882127646066
100,50,0.10795859633410576
100,31,0.27712503455845816
100,40,0.3575493743703916
100,19,0.6724444004190802
100,10,0.3448457504854603
100,2,0.0021571005681896294
100,88,0.04588425138895702
100,31,0.047866300823276475
100,104,0.6642433829079921
100,70,0.22793549171954908
100,2,0.12599064193252751
100,2,0.06791300801006916
100,24,0.2795068404378722
100,11,0.3516860296224049
100,20,0.027814185676748537
100,3,0.0053010680480632955
100,119,0.06558293289165107
100,6,0.09265760481562335
100,4,0.514930963543345
100,26,0.2813714043053498
100,82,0.92255522008681
100,2,0.4582400205932349
100,116,0.696772992188836
100,13,0.20384750134525276
100,9,0.2629866887180198
100,2,0.373461546413398
100,13,0.13548688568924583
100,2,0.37447764890472546
100,2,0.20973060214960115
100,1,0.6995639505170904
100,5,0.15219687596355203
100,89,0.7139382616549997
100,6,0.44040678643412356
100,78,0.631006348321574
100,59,0.9343864027511984
100,26,0.02783556000593501
100,50,0.055872709599540604
100,20,0.007031537967582602
100,3,0.026943729270860306
100,2,0.6743417104553309
100,57,0.005756108737950294
100,16,0.009405852601619302
100,3,0.0007402581979689682
100,3,0.13414611730112458
100,113,0.7530982657503182
100,42,0.6935624173821073
100,66,0.12755278675873583
100,16,0.3895176923831305
100,2,0.0026994717915159727
100,21,0.1491572450444314
100,8,0.423646744040448
100,4,0.5625547618788265
100,13,0.2947381250104728
100,7,0.03893445439928922
100,2,0.08055444351200458
100,113,0.12303492339365574
100,10,0.0958701014693798
100,5,0.29415906185174845
100,2,0.3668063813687077
100,16,0.063429726266782
100,41,0.008803366341093355
100,3,0.023545712950458708
100,7,0.06311026005547071
100,5,0.000663194736526096
100,2,0.5268073290351382
100,101,0.8120306264133448
100,21,0.012915237843738603
100,11,0.047080374509155476
100,3,0.13140149802766887
100,3,0.29802636612583167
100,5,0.32666221335058454
100,26,0.15958318964872853
100,13,0.07086131803069917
100,18,0.01601855213842096
100,6,0.1733747248786608
100,5,0.3391119985623089
100,2,0.24964483779758195
100,25,0.005941406129785665
100,71,0.6179584261885748
100,26,0.16360317612509712
100,144,0.5753584290543354
100,39,0.0008719978576681164
100,6,0.021541818149153458
100,88,0.09068368455038989
100,2,0.004531163242938563
100,2,0.036693115424620726
100,78,0.9211864913529789
100,17,0.02830208514973198
100,2,0.1957654210103682
100,2,0.18396618896683803
100,7,0.08959510280516292
100,18,0.07710376811945518
100,2,0.6087315783299144
100,78,0.9031889430695061
100,5,0.012049923671499263
100,59,0.5768578680051907
100,4,0.04836505826029125
100,64,0.39779619339490135
100,38,0.05306501972133726
100,18,0.04916413850134216
100,111,0.9225626097325118
100,17,0.07650455627662589
100,108,0.9961124433388554
100,2,0.04536997504431395
100,21,0.026802064285065597
100,4,0.5648519795384694
100,137,0.6301890281399902
100,11,0.0018556697794462895
100,17,0.20336264957496986
100,36,0.6442478572534701
100,39,0.3306044760864185
100,35,0.42020553478789446
100,16,0.0025299650094862125
100,11,0.3790584021831316
100,5,0.22106792864085656
100,24,0.928141786625471
100,11,0.34848273123515927
100,6,0.0518258367475406
100,4,0.848110288341908
100,28,0.1726987312058651
100,34,0.4898894392507517
100,3,0.40058431338114286
100,3,0.3959039661217161
100,2,0.03911384101863613
100,26,0.043314320782666504
100,2,0.003426476188694849
100,84,0.5656944006729832
100,30,0.26544590495822795
100,14,0.28738284802665737
100,79,0.7168789442390592
100,27,0.07764350228370354
100,8,0.12968294112989331
100,11,0.1572261935855166
100,12,0.12296316550133857
100,4,0.3529935351997886
100,29,0.02559907278351292
100,48,0.16699001938510938
100,6,0.009617299107268606
100,28,0.08967224295333232
100,14,0.04514281557367594
100,8,0.5925642336877889
100,2,0.2149395688224376
100,31,0.011736450714147972
100,25,0.6059614882272604
100,5,0.15288355098477424
100,2,0.153929115472333
100,99,0.9975328161930807
100,2,0.16041812042148984
100,27,0.0030338178966817786
100,139,0.9781506457367831
100,3,0.015177413196057032
100,41,0.13667084384731332
100,57,0.33132778369344074
100,6,0.19349385023992383
100,15,0.0029534227180297856
100,12,0.003109979167039034
100,87,0.35197183558455125
100,113,0.8971799304121371
100,26,0.006802779423589533
100,3,0.022440927233119745
100,33,0.2826761765652719
100,21,0.0019838723279927972
100,3,0.017089186604945295
100,13,0.22589788534416455
100,30,0.35318797172352
100,2,0.0048369072090603815
100,20,0.2613030107616324
100,106,0.14279256683601416
100,7,0.5070576093963413
100,2,0.6191298041449316
100,4,0.48624476321551624
100,7,0.06254937957353435
100,4,0.0009844664683605897
100,14,0.16227236474450202
100,71,0.2757084075543874
100,3,0.17413793356888918
100,8,0.05112975621588145
100,4,0.10627940490984367
100,25,0.37143752132529906
100,13,0.024658541867324413
100,16,0.4116743053557581
100,7,0.008746031852314595
100,4,0.9342298132016863
100,26,0.0015340742074427816
100,2,0.451688494716024
100,133,0.9807062822981497
100,29,0.028206491831886726
100,9,0.051344567650654094
100,9,0.2939703472900741
100,71,0.6220238598281084
100,68,0.6094325086066789
100,21,0.02582528249812832
100,22,0.06228816414141658
100,85,0.795116910927955
100,40,0.2814000638270273
100,27,0.017232405425776087
100,76,0.23087416530056593
100,2,0.3504432807307133
100,33,0.44184179363739984
100,1,0.3102976192219067
100,7,0.14778633355541115
100,55,0.6612255324020422
100,11,0.0472204131354369
100,67,0.035245448773149834
100,28,0.004087522008443867
100,10,0.07647515791726467
100,86,0.01900484637575439
100,23,0.07981442892612967
100,17,0.46184045445709165
100,80,0.44101468119398746
100,59,0.7965948730945915
100,3,0.0038889046393800752
100,72,0.11490352149636518
100,4,0.0876465180650583
100,10,0.08982300538386667
100,7,0.05746600926548062
100,2,0.24495262740327228
100,5,0.07638106374559128
100,49,0.09102502913656074
100,35,0.22985103102341375
100,2,0.014740223380193318
100,7,0.15139796228318458
100,11,0.2746643231912693
100,62,0.671980416923202
100,2,0.02619849425448495
100,71,0.17493749193850328
100,42,0.5727887782795436
100,18,0.16602437305761075
100,69,0.9304057764140097
100,43,0.003090272015659923
100,6,0.605786867685201
100,15,0.2115226104338257
100,5,0.026136802400947512
100,34,0.8087035449441953
100,26,0.7454207835277746
100,118,0.3267707620231546
100,21,0.03684715617868939
100,32,0.6219183339167238
100,93,0.802639626379611
100,3,0.49242497991531264
100,5,0.31024446569449493
100,10,0.007152965339956019
100,7,0.17316910292546872
100,37,0.07044966233558336
100,3,0.2561973539012914
100,77,0.4030268258452345
100,8,0.1249171469302075
100,82,0.1295950002709242
100,13,0.021767834673860453
100,14,0.11531585670821942
100,82,0.11538810921502596
100,23,0.6951161611486913
100,14,0.5776802025442527
100,6,0.03981295531696227
100,6,0.0060475044536533185
100,4,0.008162580617058213
100,80,0.8411691987583549
100,88,0.9382076932370323
100,100,0.9580926061308875
100,9,0.14921267533147786
100,2,0.06968622578512007
100,2,0.05692096576311445
100,91,0.8007206441020164
100,2,0.3637129884421335
100,7,0.00015035906158700207
100,2,0.016049823280631648
100,18,0.6233465980685146
100,2,0.05992525225535583
100,3,0.032263342830702424
100,4,0.02888830158255218
100,52,0.889655390837641
100,60,0.3171033361146307
100,2,0.10711590752213196
100,59,0.5987768177176167
100,2,0.04775972943534057
100,70,0.827716640515547
100,15,0.010097794325618081
100,1,0.9595056619287277
100,2,0.16243616043326314
100,86,0.8977716027237338
100,16,0.0001224089555467156
100,14,0.04414079362880241
100,2,0.22975508750323947
100,3,0.045640981207760056
100,2,0.23604898779317773
100,15,0.848200609701593
100,5,0.041158615023055845
100,2,0.13148257842186428
100,7,0.5187243931352894
100,109,0.7797045746644854
100,19,0.8598661958691942
100,2,0.764479423174324
100,3,0.05589234548590405
100,9,0.14428435633625925
100,9,0.08212985739037859
100,46,0.16797209217319886
100,16,0.17631875837436684
100,20,0.05479211768071102
100,8,0.3161466490395448
100,23,0.04156586184066824
100,19,0.5140692252931225
100,103,0.7611516301351571
100,2,0.10039911131380519
100,3,0.056612377807684244
100,3,0.020463806456428424
100,20,0.03221094605639341
100,16,0.08502743517400013
100,57,0.9043948007751992
100,86,0.08322772840309778
100,22,0.47540784547442294
100,3,0.13407157232097666
100,12,0.09743798203585519
100,2,0.10679363993463631
100,26,0.041378710898400395
100,16,0.09822366751490308
100,57,0.3372672364085699
100,124,0.741244756629644
100,2,0.6349954139100614
100,18,0.08912133252403787
100,5,0.012682355123769029
100,10,0.1767723675593953
100,4,0.9980612421817399
100,49,0.0650610332260233
100,116,0.34164095029598274
100,95,0.7685393847065944
100,1,0.6738573115276452
100,3,0.03753764113679703
100,58,0.7128878428176724
100,3,0.32734493807911025
100,2,0.6713693579029784
100,8,0.20976789771616966
100,22,0.20965903524223062
100,61,0.2813905539155356
100,10,0.03263356318308175
100,75,0.45209595049647644
100,37,0.35776268811663026
100,6,0.3788933804708565
100,31,0.08667552910842968
100,22,0.11134679485987709
100,1,0.6202144523760457
100,2,0.49465438350147783
100,11,0.3220608453171381
100,5,0.19746865111532963
100,4,0.49203199703686096
100,37,0.10769739514853682
100,23,0.22799898113617512
100,2,0.07708467177497447
100,36,0.55454623352585
100,84,0.11311630342316459
100,7,0.023785166804434543
100,2,0.017019371004357464
100,2,0.466811116094323
100,88,0.24859798120048915
100,34,0.2027756870539159
100,23,0.341344266117939
100,85,0.7899035305595519
100,22,0.0029771874782290597
100,4,0.10730645344809175
100,2,0.0127717284145078
100,63,0.15314455245108927
100,78,0.5350330612787054
100,11,0.027302990213061817
100,105,0.20887500065884013
100,4,0.2580476135623513
100,12,0.21411765345742118
100,110,0.20886739199097493
100,3,0.015433480804270316
100,11,0.03922919603077757
100,53,0.018374162114077275
100,4,0.11301345679339514
100,2,0.22274474111025233
100,10,0.09971506749459713
100,2,0.7941691074967543
100,3,0.48456756013998814
100,3,0.0015252556199603085
100,16,0.86946058170514
100,51,0.11392533960683304
100,104,0.15592872310278139
100,91,0.24360541161679883
100,3,0.13191978248341107
100,13,0.18657515247469192
100,5,0.38420954612096647
100,72,0.2935516064208955
100,86,0.33281390358790186
100,5,0.005720616605286
100,12,0.026798348692453122
100,35,0.08081727105982273
100,30,0.012946079213647321
100,31,0.44119943276954776
100,11,0.6246157635448925
100,16,0.06035650603034315
100,3,0.06979900076379686
100,5,0.004136309126533733
100,29,0.9358499264013991
100,9,0.0333215897753919
100,2,0.0014377097084474766
100,2,0.35655935218660884
100,79,0.13800750004102624
100,5,0.011029645381593678
100,7,0.18429795806620597
100,19,0.0012737122914607824
100,144,0.9786840461147804
100,45,0.07355187248220252
100,47,0.1164427777466076
100,74,0.9552493127773768
100,89,0.4131359348190996
100,2,0.03526798348996385
100,3,0.628094121797407
100,5,0.41015584598889343
100,88,0.24285003976669417
100,2,0.3582707705471214
100,17,0.08615366863668883
100,9,0.4383736610498936
100,17,0.7234210789344536
100,14,0.002059939986532311
100,11,0.005465776756210072
100,1,0.703971668344905
100,30,0.0059037081849310225
100,1,0.5484809664646624
100,7,0.1257586830999986
100,7,0.007519230211992856
100,103,0.6971084062732104
100,33,0.6923375713720469
100,45,0.0846650664797377
100,23,0.6854100585266176
100,1,0.21696974086964804
100,1,0.7573641288005364
100,6,0.7278044454980621
100,8,0.10879014994527358
100,5,0.012323297323023397
100,2,0.5279891018123745
100,46,0.09633358937432213
100,28,0.7123311260462483
100,6,0.7954230779163881
100,2,0.12386585479236678
100,1,0.7316672484569668
100,30,0.018561061967602765
100,78,0.976209225987029
100,1,0.7953695221054515
100,11,0.05415656429194926
100,32,0.32221020218246743
100,6,0.05806677878278743
100,57,0.6381105251730053
100,7,0.011573997155458038
100,40,0.043117770720371595
100,2,0.4186888212455857
100,37,0.36736106242449007
100,58,0.21126896234328696
100,21,0.2547222736808519
100,3,0.004470332257270004
100,11,0.14145637659268606
100,77,0.19910266677854382
100,15,0.4406095216719438
100,2,0.13371873928567002
100,3,0.2772348524070335
100,2,0.47693040685878885
100,82,0.25955323604587344
100,83,0.43485321602107163
100,45,0.549044549583338
100,8,0.06855818316892348
100,2,0.5868351244743372
100,3,0.4951557998320767
100,37,0.11073993502001389
100,4,0.009899322344990358
100,19,0.02645415333394041
100,79,0.6587814405264234
100,75,0.8379856334246805
100,49,0.1493211754360051
100,3,0.032379840474898725
100,38,0.06470748164669304
100,74,0.5849531166528339
100,16,0.00382625757194055
100,30,0.262986124420613
100,5,0.059842989120648005
100,5,0.1143378776803019
100,2,0.19850299908737112
100,82,0.648802027255702
100,3,0.2690889294752181
100,8,0.13740285593568202
100,44,0.06423294459062101
100,7,0.1098418158882869
100,45,0.05639444388511394
100,94,0.08769629521613664
100,1,0.6261318489832033
100,7,0.014172079275119986
100,7,0.04990009553829389
100,85,0.18963450319985498
100,4,0.021417570944503583
100,64,0.598498464558711
100,5,0.055769572288091984
100,47,0.21808961784890502
100,55,0.07148086573040446
100,15,0.029302581392485205
100,49,0.10530403163935964
100,12,0.1435089544892959
100,10,0.007201157995133545
100,12,0.13725384196187052
100,15,0.019724177512421837
100,77,0.1336760252875161
100,10,0.044010873862402655
100,17,0.0036057944223931715
100,2,0.7916892258563463
100,19,0.03375449937528785
100,5,0.13782860834666488
100,2,0.3392956382127631
100,19,0.004910506736701903
100,4,0.31839615636624385
100,96,0.35353830423769406
100,67,0.3337922437138554
100,17,0.2787868827191211
100,2,0.49299536736574656
100,70,0.07977745482169829
100,10,0.1667211508911115
100,92,0.9646386100383939
100,14,3.753146489204884e-05
100,4,0.1404669192447049
100,2,0.09129014432794513
100,8,0.7143914520599038
100,3,0.019238687421466172
100,9,0.01194302296052896
100,2,0.4550194199023745
100,103,0.8108579301588006
100,20,0.16685665812690997
100,80,0.8284011251112637
100,7,0.6747325905688368
100,56,0.000645184261969578
100,55,0.6367706348706214
100,18,0.811175678628836
100,10,0.0211344770169668
100,15,0.020820129675873766
100,76,0.33993140699486524
100,2,0.2229479524134672
